Date,VisitingTeam,VisitingTeamScore,HomeTeam,HomeTeamScore
1125,Oakland,49,Xavier,101
1125,NorthDakota,67,MiamiOhio,81
1125,WesternMichigan,62,Butler,66
1125,WesternCarolina,98,NCWilmington,76
1125,Drake,80,KansasState,70
1125,OldDominion,67,Maryland,85
1125,Fairfield,56,Providence,97
1125,Toledo,59,Bradley,61
1125,OklahomaState,75,UTArlington,68
1125,Evansville,44,Louisville,79
1125,BowlingGreen,82,Michigan,96
1125,IdahoState,49,SantaClara,62
1125,CalRiverside,60,Pacific,66
1125,BallState,73,NorthernKentucky,74
1125,CollOfCharleston,60,NorthCarolina,79
1125,MoreheadState,45,Kentucky,81
1125,OralRoberts,64,Missouri,91
1125,IllinoisChicago,65,NorthernIllinois,61
1125,FloridaAtlantic,66,SouthAlabama,68
1125,St.Peter's,75,St.Johns,76
1125,EasternMichigan,67,MichiganState,83
1125,southDakota,61,Colorado,84
1125,WiscGreenBay,69,Minnesota,99
1125,TennesseeTech,59,Indiana,89
1125,JacksonvilleState,57,Alabama,81
1125,UTRioGrandeValley,55,Texas,91
1125,GeorgiaState,123,GeorgiaTech,120
1125,EasternIllinois,67,Wisconsin,77
1125,CalIrvine,72,Pepperdine,86
1125,UCLA,58,SanDiegoState,73
1125,MontanaState,91,UNLV,78
1125,CaliforniaBaptist,87,USC,95
1125,SouthernUtah,83,LoyolaMarymount,85
1125,EastTennState,47,AbileneChristian,70
1125,AustinPeay,72,NebraskaOmaha,66
1125,Liberty,64,Purdue,77
1125,Clemson,53,MississippiState,42
1125,Villanova,76,BostonCollege,67
1125,SIUEdwardsville,52,SaintLouis,89
1125,NorthDakotaState,48,Nevada,62
1125,ArizonaState,94,RhodeIsland,88
1125,Ohio,84,ChicagoState,61
1125,California,63,OregonState,71
1125,IllinoisState,67,OhioState,94
1125,Towson,54,Virginia,89
1125,SeattleU,84,Portland,72
1125,SaintMarysCA,56,Memphis,73
1125,WesternKentucky,93,NorthernIowa,87
1125,WestVirginia,79,SouthDakotaState,71
1125,UtahState,69,VCU,85
1125,GeorgeWashington,71,Navy,78
1125,Mt.St.Mary's,62,MorganState,55
1125,SacredHeart,63,Rutgers,86
1125,Radford,62,VirginiaTech,77
1125,McNeeseState,55,Nebraska,102
1125,PrairieViewAM,66,ArkansasLittleRock,71
1125,AppalachianState,81,SouthCarolinaState,61
1125,Lamar,45,Houston,89
1125,NorthCarolinaAT,60,Illinois,122
1125,AlcornState,50,UAB,99
1125,DelawareState,51,WakeForest,111
1125,NorthCarolinaCentral,67,Iowa,97
1125,FairleighDickinson,66,Quinnipiac,84
1125,MDBaltimoreCo,62,Georgetown,70
1125,EasternKentucky,80,NorthFlorida,67
1125,NorthwesternState,58,TexasTech,101
1125,FloridaAM,56,FlaGulfCoast,65
1125,St.FrancisPA,80,Pittsburgh,70
1125,SELouisiana,63,IPFW,67
1125,HighPoint,73,Davidson,82
1125,MississippiValleyState,62,Arkansas,142
1125,HoustonBaptist,45,TCU,69
1125,CentralConnecticut,75,Connecticut,102
1125,SamHoustonSt,67,SMU,97
1125,Grambling,53,GrandCanyon,69
1125,CharlestonSou,61,NCState,95
1125,TexasSouthern,52,WashingtonState,56
1125,NichollsState,101,UCDavis,93
1125,ArkPineBluff,57,Marquette,99
1125,SanFrancisco,68,UMassLowell,76
1126,Bradley,50,Xavier,51
1126,Toledo,80,Oakland,53
1126,Gonzaga,102,Kansas,90
1126,LaSalle,65,St.Johns,82
1126,Auburn,96,St.Josephs,91
1126,NebraskaOmaha,60,MiddleTennSt,59
1126,EastTennState,66,AustinPeay,67
1126,WesternKentucky,75,Memphis,69
1126,VCU,66,WestVirginia,78
1126,NorthernIowa,64,SaintMarysCA,66
1126,UtahState,59,SouthDakotaState,83
1126,Liberty,84,MississippiState,73
1126,Purdue,70,Clemson,81
1126,Nevada,69,Nebraska,66
1126,BostonCollege,69,RhodeIsland,64
1126,Villanova,83,ArizonaState,74
1126,SIUEdwardsville,81,LSU,94
1126,ChicagoState,38,Illinois,97
1126,SanFrancisco,79,Towson,68
1126,NorthCarolinaCentral,85,Southern,78
1126,Howard,78,Belmont,95
1126,MississippiValleyState,62,NorthTexas,116
1126,NewOrleans,61,BYU,86
1126,Ohio,84,N.CarolinaAT,72
1127,Auburn,67,Gonzaga,90
1127,SanFrancisco,61,Virginia,60
1127,Toledo,73,Xavier,76
1127,Troy,66,WesternCarolina,64
1127,Ohio,75,Illinois,77
1127,FloridaAtlantic,50,JacksonvilleState,60
1127,Drake,69,southDakota,53
1127,Belmont,77,GeorgeMason,67
1127,St.Josephs,72,Kansas,94
1127,Bradley,74,Oakland,60
1127,Pepperdine,98,UCLA,107
1127,BoiseState,58,Houston,68
1127,UCDavis,63,SantaClara,66
1127,SetonHall,70,Louisville,71
1127,LaSalle,51,St.Peter's,62
1127,Towson,65,Buffalo,74
1127,CalIrvine,58,SanDiegoState,77
1127,EasternIllinois,50,Marquette,75
1127,ArkansasLittleRock,70,NCGreensboro,77
1127,Valparaiso,71,Vanderbilt,77
1127,UTArlington,71,LouisianaTech,76
1127,Mercer,83,GeorgiaTech,73
1127,Colorado,76,KansasState,58
1127,Richmond,82,MoreheadState,64
1127,MiddleTennSt,43,EastTennState,57
1127,AbileneChristian,80,AustinPeay,72
1127,WesternKentucky,64,WestVirginia,70
1127,UtahState,82,NorthernIowa,71
1127,SouthDakotaState,59,SaintMarysCA,72
1127,VCU,70,Memphis,59
1127,ArkansasState,56,Marshall,70
1127,NorfolkState,83,JamesMadison,73
1127,Evansville,61,PrairieViewAM,64
1127,SamHoustonSt,52,TexasTech,84
1127,Rice,68,IncarnateWord,53
1127,Lamar,57,Tulane,66
1127,EasternKentucky,60,CharlestonSou,50
1127,Navy,52,Maryland,82
1127,Bryant,84,Syracuse,85
1127,NCWilmington,76,NCAsheville,68
1127,NorthCarolinaAT,74,ChicagoState,44
1127,Grambling,55,Arizona,74
1127,Southern,76,Iowa,103
1127,NorthFlorida,51,NCState,86
1127,IdahoState,51,NichollsState,70
1127,Longwood,60,WakeForest,71
1127,FairleighDickinson,75,Rutgers,96
1127,Hartford,57,Connecticut,69
1127,ArkPineBluff,58,Wisconsin,92
1127,CentralConn,57,Army,79
1128,NorthDakotaState,57,Nebraska,79
1128,Drexel,74,Pittsburgh,83
1128,Troy,50,NCWilmington,73
1128,LSU,81,SaintLouis,85
1128,TexasSanAntonio,64,UTRioGrandeValley,81
1128,IdahoState,61,UCDavis,70
1128,VMI,65,PennState,86
1128,CSNorthridge,61,AirForce,66
1128,Montana,62,USC,76
1128,RhodeIsland,84,SouthFlorida,68
1128,SEMissouriState,71,UMKC,66
1128,NorthTexas,54,Arkansas,69
1128,LoyolaMarymount,73,Minnesota,88
1128,WilliamMary,78,OldDominion,86
1128,NotreDame,70,MichiganState,80
1128,UtahValley,60,BYU,82
1128,EasternWashington,68,WashingtonState,71
1128,SouthCarolina,62,Liberty,78
1128,Tulsa,65,TCU,70
1128,VirginiaTech,81,Villanova,73
1128,UL-Lafayette,82,Baylor,112
1128,CentralMichigan,72,IllinoisChicago,74
1128,NebraskaOmaha,58,AbileneChristian,70
1128,SouthCarolinaState,78,BowlingGreen,101
1128,USCUpstate,63,Furman,91
1128,SouthernMiss,51,Jacksonville,66
1128,CoppinState,71,Duke,81
1128,UMassLowell,72,IllinoisState,82
1128,GeorgeMason,84,Howard,70
1128,Navy,73,Mt.St.Mary's,67
1128,SELouisiana,59,UAB,84
1128,MDBaltimoreCo,80,St.FrancisPA,65
1128,TexasState,75,TexasAMCorpus,63
1128,Army,78,Buffalo,74
1128,UTArlington,80,NorthwesternState,71
1128,WesternCarolina,83,NCAsheville,81
1128,MississippiValleyState,61,Wyoming,97
1128,HighPoint,75,Elon,76
1128,Lipscomb,76,Lamar,73
1128,NichollsState,57,SantaClara,73
1128,NorfolkState,57,Radford,54
1128,TexasSouthern,65,OklahomaState,85
1129,Richmond,76,Kentucky,64
1129,Washington,52,Baylor,86
1129,Hofstra,56,Rutgers,70
1129,NorthDakotaState,58,Creighton,69
1129,AirForce,45,SeattleU,63
1129,JacksonvilleState,77,SouthAlabama,73
1129,TexasTech,53,Houston,64
1129,RhodeIsland,84,SanFrancisco,71
1129,Oakland,71,Michigan,81
1129,VirginiaTech,76,SouthFlorida,58
1129,SouthCarolina,69,Tulsa,58
1129,Liberty,52,TCU,56
1129,ArkansasState,61,MoreheadState,69
1129,ArkPineBluff,63,IowaState,80
1129,Lipscomb,66,Tulane,68
1129,NorthwesternState,77,LouisianaTech,91
1129,BoiseState,86,SamHoustonSt,55
1129,FloridaAM,75,Georgia,85
1129,Mt.St.Mary's,61,Maryland,79
1129,NewOrleans,53,TexasAM,82
1129,AlabamaAM,78,Samford,76
1129,HoustonBaptist,77,ArizonaState,100
1129,UMassLowell,64,OhioState,74
1129,NorthFlorida,59,MiamiFlorida,77
1129,PrairieViewAM,64,Louisville,86
1129,Radford,59,JamesMadison,67
1130,Texas,78,Davidson,76
1130,Indiana,79,Providence,58
1130,ArkansasLittleRock,76,Duquesne,66
1130,SeattleU,65,CSNorthridge,76
1130,BowlingGreen,78,AppalachianState,76
1130,St.Johns,97,BostonCollege,93
1130,Chattanooga,62,TennesseeTech,54
1130,Auburn,55,CentralFlorida,63
1130,EasternKentucky,96,Xavier,99
1130,GeorgiaState,69,Mercer,86
1130,NorthCarolina,78,UNLV,51
1130,UMKC,58,KansasState,62
1130,LoyolaMarymount,64,Minnesota,67
1130,TexasState,51,MississippiState,68
1130,Stanford,82,Alabama,64
1130,Pacific,58,Nevada,70
1130,Iona,64,SetonHall,86
1130,FairleighDickinson,58,Hofstra,73
1130,TexasAMCorpus,54,SMU,91
1130,SELouisiana,43,LSU,96
1130,NichollsState,49,California,60
1130,TexasSouthern,76,Wyoming,74
1201,USC,79,BYU,53
1201,Oakland,50,Purdue,93
1201,NebraskaOmaha,67,Creighton,94
1201,WiscGreenBay,42,Wisconsin,82
1201,WesternKentucky,54,Louisville,75
1201,ClevelandState,61,Toledo,70
1201,Valparaiso,50,IllinoisChicago,66
1201,OklahomaState,70,Marquette,62
1201,CentralMichigan,76,FloridaIntl,96
1201,MichiganState,75,Duke,69
1201,southDakota,69,Nebraska,76
1201,Kentucky,62,Kansas,65
1201,Texas,66,Indiana,44
1201,NorthCarolina,67,Stanford,63
1201,Davidson,62,Providence,63
1201,UNLV,74,Alabama,86
1201,EasternIllinois,63,Dayton,66
1201,CalRiverside,57,Washington,42
1201,Winthrop,75,NCGreensboro,67
1201,St.FrancisPA,51,Virginia,76
1201,Bryant,93,NewHampshire,85
1201,Navy,78,Georgetown,71
1201,NorthCarolinaAT,70,CharlestonSou,63
1201,Hampton,82,GeorgeWashington,78
1201,NichollsState,50,SaintMarysCA,73
1201,Hartford,53,Villanova,87
1201,StonyBrook,68,St.Peter's,82
1201,Longwood,71,VMI,84
1201,MissValleySt,49,GrandCanyon,88
1202,Duquesne,81,NCGreensboro,68
1202,MoreheadState,44,OhioState,77
1202,MontanaState,70,Pacific,74
1202,VCU,69,PennState,72
1202,SIUEdwardsville,73,NorthernIllinois,53
1202,TennesseeTech,48,Xavier,79
1202,OralRoberts,80,WichitaState,85
1202,SetonHall,63,RhodeIsland,76
1202,WestVirginia,82,Gonzaga,87
1202,BallState,65,Michigan,84
1202,SouthDakotaState,71,IowaState,68
1202,TarletonState,66,TexasAM,73
1202,MurrayState,61,MiddleTennSt,78
1202,SouthernIllinois,87,SEMissouriState,79
1202,Drexel,66,Quinnipiac,48
1202,ArkansasState,54,Memphis,83
1202,Evansville,87,TennesseeMartin,93
1202,SanFrancisco,85,Nevada,60
1202,Oregon,75,Missouri,83
1202,UTArlington,60,Arkansas,72
1202,OregonState,55,WashingtonState,59
1202,Illinois,69,Baylor,82
1202,Indiana,79,Stanford,63
1202,Texas,69,NorthCarolina,67
1202,Providence,71,Alabama,88
1202,Davidson,77,UNLV,73
1202,St.Johns,68,BYU,74
1202,NorthDakota,73,DixieState,74
1202,Army,69,Florida,76
1202,FlaGulfCoast,57,SouthFlorida,76
1202,Lipscomb,55,Cincinnati,67
1202,EasternKentucky,95,USCUpstate,78
1202,SouthCarolinaState,38,Clemson,75
1202,Hartford,66,Fairfield,61
1202,Presbyterian,65,Jacksonville,78
1202,KennesawSt,48,UAB,73
1202,OldDominion,80,NorfolkState,66
1202,TexasAMCorpus,59,UTRioGrandeValley,62
1202,UL-Lafayette,66,NewOrleans,63
1202,SELouisiana,81,CaliforniaBaptist,80
1202,NorthFlorida,58,FloridaState,86
1202,HoustonBaptist,75,SMU,102
1202,IncarnateWord,83,Wyoming,94
1202,ArkPineBluff,49,Northwestern,92
1203,ChicagoState,56,EasternIllinois,78
1203,Washington,62,Utah,76
1203,TennesseeTech,65,NorthernKentucky,74
1203,Marshall,80,WrightState,64
1203,Connecticut,61,USC,58
1203,Niagara,45,Syracuse,75
1203,UL-Monroe,62,LouisianaTech,78
1203,VMI,57,VirginiaTech,64
1203,WesternIllinois,58,Iowa,99
1203,SeattleU,52,UCLA,78
1203,NebraskaOmaha,66,Drake,87
1203,TexasSanAntonio,66,Oklahoma,105
1203,Idaho,55,SacramentoState,77
1203,Montana,63,SouthernUtah,64
1203,Florida,90,BostonCollege,70
1203,ArizonaState,70,California,62
1203,Quinnipiac,58,Drexel,70
1203,Winthrop,80,ArkansasLittleRock,75
1203,UMassLowell,59,NCState,90
1203,St.FrancisPA,62,Liberty,78
1203,NorthCarolinaAT,70,TheCitadel,78
1203,NorthwesternState,68,TCU,74
1203,TexasSouthern,70,SaintMarysCA,82
1204,St.Peter's,57,Maryland,90
1204,UTArlington,64,Tulsa,79
1204,Detroit,76,MichiganState,83
1204,GeorgiaState,76,CharlotteU,65
1204,KentState,64,Virginia,71
1204,Toledo,91,EasternMichigan,74
1204,Wisconsin,65,Marquette,67
1204,Valparaiso,61,Purdue,68
1204,JacksonvilleState,70,FloridaIntl,74
1204,NorthTexas,63,MississippiState,69
1204,LongBeachState,61,LoyolaMarymount,85
1204,NorthDakota,67,Minnesota,76
1204,Troy,46,TexasTech,80
1204,SouthAlabama,81,Auburn,90
1204,Oregon,83,SetonHall,70
1204,SouthDakotaState,88,Bradley,84
1204,SanFrancisco,88,CalPolySLO,60
1204,Fairfield,69,StonyBrook,72
1204,SELouisiana,66,CaliforniaBaptist,83
1204,KennesawSt,58,Creighton,93
1204,CentralConnecticut,65,Hartford,80
1204,Jacksonville,65,Georgia,98
1204,Bellarmine,54,Duke,76
1204,McNeeseState,76,StephenF.Austin,86
1204,Stetson,60,MiamiFlorida,82
1204,CentralArkansas,68,Memphis,85
1205,ChicagoState,66,Northwestern,111
1205,EasternWashington,67,Arizona,70
1205,Idaho,57,SacramentoState,73
1205,IllinoisChicago,66,BallState,68
1205,Montana,74,SouthernUtah,75
1205,SMU,66,Dayton,64
1205,EasternIllinois,93,WiscGreenBay,91
1205,NebraskaOmaha,65,SIUEdwardsville,63
1205,NorthDakotaState,61,Kansas,65
1205,MiamiOhio,47,WrightState,71
1205,Iona,82,Hofstra,74
1205,Samford,96,Belmont,83
1205,SouthCarolina,67,Houston,77
1205,Rider,52,Syracuse,87
1205,NorthernIllinois,59,Pittsburgh,89
1205,Oakland,71,OklahomaState,84
1205,UNLV,68,KansasState,58
1205,BYU,67,UtahState,64
1205,PortlandState,73,Portland,86
1205,Furman,81,CollOfCharleston,57
1205,IllinoisState,65,MurrayState,76
1205,Radford,50,EastCarolina,63
1205,NorthFlorida,74,HighPoint,85
1205,SouthCarolinaState,56,NCAsheville,77
1205,Mt.St.Mary's,42,VCU,60
1205,Marist,68,Binghamton,65
1205,IncarnateWord,64,TexasState,72
1205,Lamar,44,AirForce,59
1205,FairleighDickinson,67,Providence,79
1205,Lipscomb,50,Arkansas,86
1205,GeorgiaSouthern,72,USCUpstate,69
1205,TarletonState,48,AbileneChristian,69
1205,Rice,86,HoustonBaptist,64
1205,ArkPineBluff,54,SaintLouis,107
1205,CoppinState,69,GeoWashington,85
1206,TennesseeTech,75,WesternCarolina,76
1206,Villanova,68,Texas,64
1206,Missouri,72,WichitaState,62
1206,ClevelandState,46,Ohio,101
1206,Xavier,77,Cincinnati,69
1206,Troy,55,UAB,77
1206,CalRiverside,83,Denver,63
1206,CentralMichigan,79,WesternIllinois,73
1206,Oklahoma,82,TCU,78
1206,UTRioGrandeValley,68,TexasAM,81
1206,Wyoming,76,OregonState,73
1206,CentralFlorida,58,Michigan,80
1206,WestVirginia,80,Georgetown,71
1206,Pepperdine,60,SanDiegoState,65
1206,SeattleU,75,LongBeachState,80
1206,Kentucky,62,GeorgiaTech,79
1206,LouisianaTech,55,LSU,86
1206,Buffalo,78,BowlingGreen,86
1206,WesternMichigan,61,MichiganState,79
1206,Detroit,70,NotreDame,78
1206,California,56,UCLA,76
1206,SetonHall,98,PennState,92
1206,Grambling,40,TexasTech,81
1206,CoppinState,54,Drexel,69
1206,Stetson,40,Florida,86
1206,NewHampshire,58,Quinnipiac,64
1206,StonyBrook,66,St.Johns,89
1206,CentralArkansas,83,ArkansasLittleRock,86
1206,UL-Monroe,92,NorthwesternState,83
1206,Binghamton,60,Marist,64
1206,LaSalle,59,Army,63
1206,Bellarmine,84,Howard,63
1206,MissValleySt,69,WesternKentucky,96
1206,Stanford,78,N.CarolinaAT,46
1207,NCWilmington,78,EastCarolina,88
1207,MoreheadState,68,EasternKentucky,71
1207,Chattanooga,80,MiddleTennSt,70
1207,LoyolaMarymount,58,CalSantaBarbara,69
1207,NorthernArizona,53,Arizona,96
1207,Wofford,72,Richmond,77
1207,GeorgeWashington,81,MDBaltimoreCo,92
1207,EasternWashington,52,Oregon,69
1207,Fairfield,54,Hartford,67
1207,SouthCarolinaState,40,CharlotteU,78
1207,Hampton,64,NorfolkState,76
1207,FloridaAtlantic,79,NorthFlorida,77
1207,Lipscomb,77,SEMissouriState,82
1207,NCCentral,71,CoastalCarolina,78
1208,Purdue,54,MiamiFlorida,58
1208,Creighton,72,Kansas,73
1208,IdahoState,59,Utah,75
1208,Colorado,47,Tennessee,56
1208,NorthernKentucky,60,Dayton,66
1208,BostonCollege,80,Minnesota,85
1208,BallState,79,NorthernIllinois,70
1208,Montana,50,Georgia,63
1208,Rider,79,St.Johns,82
1208,KentState,80,Detroit,66
1208,TennesseeState,64,Belmont,79
1208,OhioState,90,NotreDame,85
1208,NorthCarolina,80,Iowa,93
1208,OralRoberts,78,OklahomaState,83
1208,AustinPeay,57,MurrayState,87
1208,PennState,75,VirginiaTech,55
1208,WiscGreenBay,68,Marquette,82
1208,Syracuse,69,Rutgers,79
1208,Illinois,83,Duke,68
1208,UTEP,61,SaintMarysCA,73
1208,CalIrvine,56,USC,91
1208,MorganState,83,Iona,72
1208,Delaware,61,MDBaltimoreCo,76
1208,Stetson,62,SouthFlorida,73
1208,Wagner,45,SetonHall,78
1208,NorthCarolinaAT,60,Longwood,77
1208,CentralConnecticut,94,FairleighDickinson,87
1208,Bryant,101,St.FrancisNY,82
1208,St.FrancisPA,57,Mt.St.Mary's,75
1208,Campbell,80,Jacksonville,78
1208,CoppinState,48,Georgetown,80
1208,CentralArkansas,65,SaintLouis,88
1208,MississippiValleyState,57,Memphis,94
1208,JacksonState,59,MississippiState,82
1209,ChicagoState,51,LoyolaChicago,88
1209,RhodeIsland,62,Wisconsin,73
1209,Maryland,51,Clemson,67
1209,Providence,79,TCU,70
1209,Furman,73,Cincinnati,78
1209,WesternIllinois,57,MiamiOhio,67
1209,NorthernIowa,68,Richmond,78
1209,Marshall,84,CollOfCharleston,72
1209,CSBakersfield,60,Arizona,85
1209,EasternIllinois,65,Evansville,68
1209,SIUEdwardsville,58,Valparaiso,80
1209,GeorgiaTech,75,Nebraska,64
1209,TexasState,53,Texas,74
1209,SouthernMiss,38,Tulane,58
1209,Oklahoma,77,Xavier,99
1209,SouthernUtah,81,UtahValley,71
1209,SanDiego,56,UCLA,83
1209,Denver,61,Wyoming,83
1209,California,62,Pepperdine,74
1209,BoiseState,74,BYU,70
1209,Idaho,58,WashingtonState,61
1209,SantaClara,76,CalPolySLO,69
1209,Indiana,67,FloridaState,69
1209,Pittsburgh,71,Northwestern,70
1209,SeattleU,41,Washington,73
1209,Toledo,71,Michigan,91
1209,NewOrleans,70,Campbell,79
1209,Bryant,91,St.FrancisNY,93
1209,CentralConnecticut,71,FairleighDickinson,79
1209,AbileneChristian,44,TexasTech,51
1209,NorthCarolinaAT,59,VCU,95
1209,StonyBrook,67,Hofstra,72
1209,Chattanooga,77,Bellarmine,68
1209,Lamar,63,UL-Monroe,60
1209,ArkPineBluff,75,ArkansasState,74
1209,SELouisiana,69,LouisianaTech,78
1209,Liberty,60,Missouri,69
1209,SEMissouriState,74,Lipscomb,80
1209,FloridaAM,66,Oregon,87
1209,StephenF.Austin,52,Baylor,83
1210,NorthDakota,75,southDakota,71
1210,Portland,87,OregonState,86
1210,UMKC,61,Minnesota,90
1210,CalRiverside,74,NorthernArizona,50
1210,LongBeachState,62,SanFrancisco,107
1210,NorthDakotaState,75,SouthDakotaState,77
1210,SanDiegoState,80,ArizonaState,68
1210,NewOrleans,70,Jacksonville,77
1210,NorthFlorida,67,EastCarolina,73
1210,Troy,62,NorthAlabama,57
1210,NCGreensboro,80,CoppinState,85
1210,JacksonState,45,Mississippi,80
1210,UTRioGrandeValley,68,TexasAMCorpus,64
